Gene set	size	genes
Op:proVWX	3	b2677,b2678,b2679
Op:prpBCDE	4	b0331,b0333,b0334,b0335
Op:psd-mscM	2	b4160,b4159
Op:pspABCDE	5	b1304,b1305,b1306,b1307,b1308
Op:pstSCAB-phoU	5	b3728,b3727,b3726,b3725,b3724
Op:psuKG	2	b2166,b2165
Op:pth-ychF	2	b1204,b1203
Op:ptrA-recBD	3	b2821,b2820,b2819
Op:ptsA-fsaB-gldA	3	b3947,b3946,b3945
Op:ptsHI-crr	3	b2415,b2416,b2417
Op:purEK	2	b0523,b0522
Op:purHD	2	b4006,b4005
Op:purMN	2	b2499,b2500
Op:puuA-ymjE-puuP	3	b1297,b4742,b1296
Op:puuDRCBE	5	b1298,b1299,b1300,b1301,b1302
Op:pyrG-eno	2	b2780,b2779
Op:pyrLBI	3	b4246,b4245,b4244
Op:qmcA-ybbJ	2	b0489,b0488
Op:qseBC	2	b3025,b3026
Op:rapA-rluA	2	b0059,b0058
Op:ratA-yfjF	2	b2619,b2618
Op:ravA-viaA	2	b3746,b3745
Op:rbsDACBKR	6	b3748,b3749,b3750,b3751,b3752,b3753
Op:rclABC	3	b0304,b0303,b0301
Op:rcnAB	2	b2106,b2107
Op:rcsDB	2	b2216,b2217
Op:rcsF-trmO	2	b0196,b0195
Op:recAX	2	b2699,b2698
Op:recET-ralR-rcbA-xisR-intR	6	b1350,b1349,b1348,b1347,b1346,b1345
Op:relA-mazEFG	4	b2784,b2783,b2782,b2781
Op:relBE-hokD	3	b1564,b1563,b1562
Op:rfaD-waaFCL	4	b3619,b3620,b3621,b3622
Op:rfbBDACX	5	b2041,b2040,b2039,b2038,b2037
Op:rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	11	b3784,b3785,b3786,b3787,b3788,b3789,b3790,b3791,b3792,b3793,b3794
Op:rhaBAD	3	b3904,b3903,b3902
Op:rhaSR	2	b3905,b3906
Op:rhoL-rho	2	b3782,b3783
Op:rhsA-yibA	2	b3593,b3594
Op:rhsC-ybfB	2	b0700,b0702
Op:rhsD-ybbC-ylbH-ybbD	4	b0497,b0498,b0499,b0501
Op:rhsE-ydcD	2	b1456,b1457
Op:ribF-ileS-lspA-fkpB-ispH	5	b0025,b0026,b0027,b0028,b0029
Op:rirA-waaQGPSBOJYZU	10	b3632,b3631,b3630,b3629,b3628,b3627,b3626,b3625,b3624,b3623
Op:rlmE-ftsH	2	b3179,b3178
Op:rlmL-uup	2	b0948,b0949
Op:rluD-pgeF	2	b2594,b2593
Op:rluE-nudJ	2	b1135,b1134
Op:rnc-era-recO-pdxJ-acpS	5	b2567,b2566,b2565,b2564,b2563
Op:rnlAB	2	b2630,b2631
Op:rnt-lhr	2	b1652,b1653
Op:rph-pyrE	2	b3643,b3642
Op:rplKAJL-rpoBC	6	b3983,b3984,b3985,b3986,b3987,b3988
Op:rplM-rpsI	2	b3231,b3230
Op:rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	12	b3310,b3309,b3308,b3307,b3306,b3305,b3304,b3303,b3302,b3301,b3300,b3299
Op:rplU-rpmA-yhbE-obgE	4	b3186,b3185,b3184,b3183
Op:rpmH-rnpA	2	b3703,b3704
Op:rpnE-ypaA	2	b2244,b4543
Op:rpoZ-spoT-trmH-recG	4	b3649,b3650,b3651,b3652
Op:rppH-ptsP	2	b2830,b2829
Op:rpsF-priB-rpsR-rplI	4	b4200,b4201,b4202,b4203
Op:rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	11	b3321,b3320,b3319,b3318,b3317,b3316,b3315,b3314,b3313,b3312,b3311
Op:rpsLG-fusA-tufA	4	b3342,b3341,b3340,b3339
Op:rpsMKD-rpoA-rplQ	5	b3298,b3297,b3296,b3295,b3294
Op:rpsP-rimM-trmD-rplS	4	b2609,b2608,b2607,b2606
Op:rpsU-dnaG-rpoD	3	b3065,b3066,b3067
Op:rseD-rpoE-rseABC	5	b4725,b2573,b2572,b2571,b2570
Op:rsfS-rlmH-mrdAB-rlpA	5	b0637,b0636,b0635,b0634,b0633
Op:rsmD-yhhL	2	b3465,b3466
Op:rsmE-gshB	2	b2946,b2947
Op:rspAB	2	b1581,b1580
Op:rssAB	2	b1234,b1235
Op:rstAB	2	b1608,b1609
Op:rtcBA	2	b3421,b4475
Op:rutABCDEFG	7	b1012,b1011,b1010,b1009,b1008,b1007,b1006
Op:ruvAB	2	b1861,b1860
Op:safA-ydeO	2	b1500,b1499
Op:sanA-yeiS	2	b2144,b2145
Op:sapABCDF	5	b1294,b1293,b1292,b1291,b1290
Op:sbcDC	2	b0398,b0397
Op:sbmA-yaiW	2	b0377,b0378
Op:scpA-argK-scpBC	4	b2917,b2918,b2919,b2920
Op:sdaCB	2	b2796,b2797
Op:sdhCDAB-sucABCD-sdhX	8	b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729
Op:sdhE-ygfX	2	b2897,b2896
Op:secE-nusG	2	b3981,b3982
Op:secMA-mutT	3	b0097,b0098,b0099
Op:selAB	2	b3591,b3590
Op:seqA-pgm	2	b0687,b0688
Op:serB-radA-nadR	3	b4388,b4389,b4390
Op:serC-aroA	2	b0907,b0908
Op:sfmCD	2	b0531,b0532
Op:sfmHF	2	b0533,b0534
Op:sfsA-dksA-gluQ	3	b0146,b0145,b0144
Op:sgcXBCQAER	7	b4305,b4565,b4304,b4303,b4302,b4301,b4300
Op:sgrR-sroA-thiBPQ	4	b0069,b0068,b0067,b0066
Op:sgrST-setA	2	b4662,b0070
Op:slp-dctR	2	b3506,b3507
Op:solA-yceO	2	b1059,b1058
Op:speAB	2	b2938,b2937
Op:speFLF-potE	2	b0693,b0692
Op:srkA-dsbA	2	b3859,b3860
Op:srlAEBD-gutM-srlR-gutQ	7	b2702,b2703,b2704,b2705,b2706,b2707,b2708
Op:sspAB	2	b3229,b3228
Op:ssuEADCB	5	b0937,b0936,b0935,b0934,b0933
Op:stfE-tfaE	2	b1157,b1156
Op:stfR-tfaR	2	b1372,b1373
Op:sufABCDSE	6	b1684,b1683,b1682,b1681,b1680,b1679
Op:tag-yiaC	2	b3549,b3550
Op:talA-tktB	2	b2464,b2465
Op:tamAB-ytfP	3	b4220,b4221,b4222
Op:tar-tap-cheRBYZ	6	b1886,b1885,b1884,b1883,b1882,b1881
Op:tatABCD	4	b3836,b3838,b3839,b4483
